complaint_id,precinct,borough,offense_level,offense_type,occurred_at,source
316625735,84,BROOKLYN,MISDEMEANOR,FRAUDS,2025-11-25T14:14:00,SOCRATA_qgea-i56i
316628695,84,BROOKLYN,FELONY,GRAND LARCENY,2025-11-13T09:00:00,SOCRATA_qgea-i56i
316632177,84,BROOKLYN,VIOLATION,HARRASSMENT 2,2025-11-20T13:56:00,SOCRATA_qgea-i56i
316641066,84,BROOKLYN,FELONY,ROBBERY,2025-11-25T15:53:00,SOCRATA_qgea-i56i
316643543,84,BROOKLYN,FELONY,GRAND LARCENY,2025-11-17T17:00:00,SOCRATA_qgea-i56i
316643544,84,BROOKLYN,FELONY,ROBBERY,2025-11-25T16:10:00,SOCRATA_qgea-i56i
316645842,84,BROOKLYN,VIOLATION,HARRASSMENT 2,2025-11-17T11:45:00,SOCRATA_qgea-i56i
316645843,84,BROOKLYN,FELONY,GRAND LARCENY,2025-11-25T15:50:00,SOCRATA_qgea-i56i
316645844,84,BROOKLYN,FELONY,GRAND LARCENY,2025-11-15T00:00:00,SOCRATA_qgea-i56i
316650529,84,BROOKLYN,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI,2025-11-25T22:50:00,SOCRATA_qgea-i56i
316650530,84,BROOKLYN,FELONY,BURGLARY,2025-11-25T23:08:00,SOCRATA_qgea-i56i
316650531,84,BROOKLYN,FELONY,GRAND LARCENY,2025-11-24T20:30:00,SOCRATA_qgea-i56i
316650773,84,BROOKLYN,FELONY,GRAND LARCENY,2025-11-25T16:45:00,SOCRATA_qgea-i56i
316651802,84,BROOKLYN,FELONY,ROBBERY,2025-11-26T01:27:00,SOCRATA_qgea-i56i
316668192,84,BROOKLYN,FELONY,MISCELLANEOUS PENAL LAW,2025-11-25T10:40:00,SOCRATA_qgea-i56i
316668194,84,BROOKLYN,FELONY,BURGLARY,2025-11-26T09:53:00,SOCRATA_qgea-i56i
316670948,84,BROOKLYN,VIOLATION,MISCELLANEOUS PENAL LAW,2025-11-26T10:52:00,SOCRATA_qgea-i56i
316670949,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-21T13:38:00,SOCRATA_qgea-i56i
316677502,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-21T11:04:00,SOCRATA_qgea-i56i
316680302,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-10-17T10:20:00,SOCRATA_qgea-i56i
316680303,84,BROOKLYN,MISDEMEANOR,VEHICLE AND TRAFFIC LAWS,2025-11-26T14:15:00,SOCRATA_qgea-i56i
316683228,84,BROOKLYN,VIOLATION,ADMINISTRATIVE CODE,2025-11-26T15:31:00,SOCRATA_qgea-i56i
316690074,84,BROOKLYN,FELONY,BURGLARY,2025-11-26T03:00:00,SOCRATA_qgea-i56i
316694518,84,BROOKLYN,FELONY,ROBBERY,2025-11-26T17:00:00,SOCRATA_qgea-i56i
316699336,84,BROOKLYN,FELONY,ROBBERY,2025-11-26T18:27:00,SOCRATA_qgea-i56i
316701348,84,BROOKLYN,FELONY,FELONY ASSAULT,2025-11-26T19:15:00,SOCRATA_qgea-i56i
316701349,84,BROOKLYN,FELONY,FELONY ASSAULT,2025-11-26T19:15:00,SOCRATA_qgea-i56i
316711487,84,BROOKLYN,VIOLATION,ADMINISTRATIVE CODE,2025-11-27T02:12:00,SOCRATA_qgea-i56i
316717522,84,BROOKLYN,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI,2025-11-27T02:25:00,SOCRATA_qgea-i56i
316720769,84,BROOKLYN,VIOLATION,HARRASSMENT 2,2025-11-25T20:00:00,SOCRATA_qgea-i56i
316720770,84,BROOKLYN,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,2025-11-25T14:22:00,SOCRATA_qgea-i56i
316720771,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-27T09:14:00,SOCRATA_qgea-i56i
316726780,84,BROOKLYN,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2025-11-22T15:47:00,SOCRATA_qgea-i56i
316726781,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-23T12:00:00,SOCRATA_qgea-i56i
